エリア,対象分類,date,visitors
港区,来訪者,2020-02-10,812000
港区,来訪者,2020-02-11,318000
港区,来訪者,2020-02-12,890000
港区,来訪者,2020-02-13,901000
港区,来訪者,2020-02-14,906000
港区,来訪者,2020-02-15,379000
港区,来訪者,2020-02-16,260000
港区,来訪者,2020-02-17,881000
港区,来訪者,2020-02-18,884000
港区,来訪者,2020-02-19,873000
港区,来訪者,2020-02-20,880000
港区,来訪者,2020-02-21,882000
港区,来訪者,2020-02-22,355000
港区,来訪者,2020-02-23,273000
港区,来訪者,2020-02-24,285000
港区,来訪者,2020-02-25,871000
港区,来訪者,2020-02-26,872000
港区,来訪者,2020-02-27,856000
港区,来訪者,2020-02-28,848000
港区,来訪者,2020-02-29,311000
新宿区,住人,2020-02-01,327000
新宿区,住人,2020-02-02,327000
新宿区,住人,2020-02-03,327000
新宿区,住人,2020-02-04,327000
新宿区,住人,2020-02-05,327000
新宿区,住人,2020-02-06,327000
新宿区,住人,2020-02-07,327000
新宿区,住人,2020-02-08,327000
新宿区,住人,2020-02-09,327000
新宿区,住人,2020-02-10,327000
新宿区,住人,2020-02-11,327000
新宿区,住人,2020-02-12,327000
新宿区,住人,2020-02-13,327000
新宿区,住人,2020-02-14,327000
新宿区,住人,2020-02-15,327000
新宿区,住人,2020-02-16,327000
新宿区,住人,2020-02-17,327000
新宿区,住人,2020-02-18,327000
新宿区,住人,2020-02-19,327000
新宿区,住人,2020-02-20,327000
新宿区,住人,2020-02-21,327000
新宿区,住人,2020-02-22,327000
新宿区,住人,2020-02-23,327000
新宿区,住人,2020-02-24,327000
新宿区,住人,2020-02-25,327000
新宿区,住人,2020-02-26,327000
新宿区,住人,2020-02-27,327000
新宿区,住人,2020-02-28,327000
新宿区,住人,2020-02-29,327000
新宿区,来訪者,2020-02-01,364000
新宿区,来訪者,2020-02-02,283000
新宿区,来訪者,2020-02-03,646000
新宿区,来訪者,2020-02-04,653000
新宿区,来訪者,2020-02-05,644000
新宿区,来訪者,2020-02-06,652000
新宿区,来訪者,2020-02-07,658000
新宿区,来訪者,2020-02-08,356000
新宿区,来訪者,2020-02-09,277000
新宿区,来訪者,2020-02-10,614000
新宿区,来訪者,2020-02-11,306000
新宿区,来訪者,2020-02-12,644000
新宿区,来訪者,2020-02-13,648000
新宿区,来訪者,2020-02-14,663000
新宿区,来訪者,2020-02-15,362000
新宿区,来訪者,2020-02-16,268000
新宿区,来訪者,2020-02-17,640000
新宿区,来訪者,2020-02-18,642000
新宿区,来訪者,2020-02-19,632000
新宿区,来訪者,2020-02-20,641000
新宿区,来訪者,2020-02-21,645000
新宿区,来訪者,2020-02-22,345000
新宿区,来訪者,2020-02-23,273000
新宿区,来訪者,2020-02-24,276000
新宿区,来訪者,2020-02-25,636000
新宿区,来訪者,2020-02-26,630000
新宿区,来訪者,2020-02-27,622000
新宿区,来訪者,2020-02-28,624000
新宿区,来訪者,2020-02-29,308000
文京区,住人,2020-02-01,212000
文京区,住人,2020-02-02,212000
文京区,住人,2020-02-03,212000
文京区,住人,2020-02-04,212000
文京区,住人,2020-02-05,212000
文京区,住人,2020-02-06,212000
文京区,住人,2020-02-07,212000
文京区,住人,2020-02-08,212000
文京区,住人,2020-02-09,212000
文京区,住人,2020-02-10,212000
文京区,住人,2020-02-11,212000
文京区,住人,2020-02-12,212000
文京区,住人,2020-02-13,212000
文京区,住人,2020-02-14,212000
文京区,住人,2020-02-15,212000
文京区,住人,2020-02-16,212000
文京区,住人,2020-02-17,212000
文京区,住人,2020-02-18,212000
文京区,住人,2020-02-19,212000
文京区,住人,2020-02-20,212000
文京区,住人,2020-02-21,212000
文京区,住人,2020-02-22,212000
文京区,住人,2020-02-23,212000
文京区,住人,2020-02-24,212000
文京区,住人,2020-02-25,212000
文京区,住人,2020-02-26,212000
文京区,住人,2020-02-27,212000
文京区,住人,2020-02-28,212000
文京区,住人,2020-02-29,212000
文京区,来訪者,2020-02-01,227000
文京区,来訪者,2020-02-02,180000
文京区,来訪者,2020-02-03,382000
文京区,来訪者,2020-02-04,389000
文京区,来訪者,2020-02-05,387000
文京区,来訪者,2020-02-06,389000
文京区,来訪者,2020-02-07,394000
文京区,来訪者,2020-02-08,225000
文京区,来訪者,2020-02-09,178000
文京区,来訪者,2020-02-10,365000
文京区,来訪者,2020-02-11,195000
文京区,来訪者,2020-02-12,383000
文京区,来訪者,2020-02-13,389000
文京区,来訪者,2020-02-14,397000
文京区,来訪者,2020-02-15,231000
文京区,来訪者,2020-02-16,169000
文京区,来訪者,2020-02-17,377000
文京区,来訪者,2020-02-18,380000
文京区,来訪者,2020-02-19,378000
文京区,来訪者,2020-02-20,379000
文京区,来訪者,2020-02-21,384000
文京区,来訪者,2020-02-22,214000
文京区,来訪者,2020-02-23,173000
文京区,来訪者,2020-02-24,172000
文京区,来訪者,2020-02-25,372000
文京区,来訪者,2020-02-26,371000
文京区,来訪者,2020-02-27,365000
文京区,来訪者,2020-02-28,369000
文京区,来訪者,2020-02-29,190000
台東区,住人,2020-02-01,190000
台東区,住人,2020-02-02,190000
台東区,住人,2020-02-03,190000
台東区,住人,2020-02-04,190000
台東区,住人,2020-02-05,190000
台東区,住人,2020-02-06,190000
台東区,住人,2020-02-07,190000
台東区,住人,2020-02-08,190000
台東区,住人,2020-02-09,190000
台東区,住人,2020-02-10,190000
台東区,住人,2020-02-11,190000
台東区,住人,2020-02-12,190000
台東区,住人,2020-02-13,190000
台東区,住人,2020-02-14,190000
台東区,住人,2020-02-15,190000
台東区,住人,2020-02-16,190000
台東区,住人,2020-02-17,190000
台東区,住人,2020-02-18,190000
台東区,住人,2020-02-19,190000
台東区,住人,2020-02-20,190000
台東区,住人,2020-02-21,190000
台東区,住人,2020-02-22,190000
台東区,住人,2020-02-23,190000
台東区,住人,2020-02-24,190000
台東区,住人,2020-02-25,190000
台東区,住人,2020-02-26,190000
台東区,住人,2020-02-27,190000
台東区,住人,2020-02-28,190000
台東区,住人,2020-02-29,190000
台東区,来訪者,2020-02-01,185000
台東区,来訪者,2020-02-02,147000
台東区,来訪者,2020-02-03,301000
台東区,来訪者,2020-02-04,309000
台東区,来訪者,2020-02-05,306000
台東区,来訪者,2020-02-06,306000
台東区,来訪者,2020-02-07,312000
台東区,来訪者,2020-02-08,181000
台東区,来訪者,2020-02-09,147000
台東区,来訪者,2020-02-10,291000
台東区,来訪者,2020-02-11,160000
台東区,来訪者,2020-02-12,306000
台東区,来訪者,2020-02-13,311000
台東区,来訪者,2020-02-14,318000
台東区,来訪者,2020-02-15,187000
台東区,来訪者,2020-02-16,137000
台東区,来訪者,2020-02-17,301000
台東区,来訪者,2020-02-18,302000
台東区,来訪者,2020-02-19,300000
台東区,来訪者,2020-02-20,303000
台東区,来訪者,2020-02-21,307000
台東区,来訪者,2020-02-22,176000
台東区,来訪者,2020-02-23,145000
台東区,来訪者,2020-02-24,143000
台東区,来訪者,2020-02-25,296000
台東区,来訪者,2020-02-26,295000
台東区,来訪者,2020-02-27,291000
台東区,来訪者,2020-02-28,294000
台東区,来訪者,2020-02-29,155000
墨田区,住人,2020-02-01,262000
墨田区,住人,2020-02-02,262000
墨田区,住人,2020-02-03,262000
墨田区,住人,2020-02-04,262000
墨田区,住人,2020-02-05,262000
墨田区,住人,2020-02-06,262000
墨田区,住人,2020-02-07,262000
墨田区,住人,2020-02-08,262000
墨田区,住人,2020-02-09,262000
墨田区,住人,2020-02-10,262000
墨田区,住人,2020-02-11,262000
墨田区,住人,2020-02-12,262000
墨田区,住人,2020-02-13,262000
墨田区,住人,2020-02-14,262000
墨田区,住人,2020-02-15,262000
墨田区,住人,2020-02-16,262000
墨田区,住人,2020-02-17,262000
墨田区,住人,2020-02-18,262000
墨田区,住人,2020-02-19,262000
墨田区,住人,2020-02-20,262000
墨田区,住人,2020-02-21,262000
墨田区,住人,2020-02-22,262000
墨田区,住人,2020-02-23,262000
墨田区,住人,2020-02-24,262000
墨田区,住人,2020-02-25,262000
墨田区,住人,2020-02-26,262000
墨田区,住人,2020-02-27,262000
墨田区,住人,2020-02-28,262000
墨田区,住人,2020-02-29,262000
墨田区,来訪者,2020-02-01,143000
墨田区,来訪者,2020-02-02,118000
墨田区,来訪者,2020-02-03,216000
墨田区,来訪者,2020-02-04,218000
墨田区,来訪者,2020-02-05,220000
墨田区,来訪者,2020-02-06,219000
墨田区,来訪者,2020-02-07,221000
墨田区,来訪者,2020-02-08,140000
墨田区,来訪者,2020-02-09,117000
墨田区,来訪者,2020-02-10,209000
墨田区,来訪者,2020-02-11,123000
墨田区,来訪者,2020-02-12,217000
墨田区,来訪者,2020-02-13,220000
墨田区,来訪者,2020-02-14,224000
墨田区,来訪者,2020-02-15,143000
墨田区,来訪者,2020-02-16,107000
墨田区,来訪者,2020-02-17,216000
墨田区,来訪者,2020-02-18,216000
墨田区,来訪者,2020-02-19,215000
墨田区,来訪者,2020-02-20,216000
墨田区,来訪者,2020-02-21,219000
墨田区,来訪者,2020-02-22,135000
墨田区,来訪者,2020-02-23,116000
墨田区,来訪者,2020-02-24,114000
墨田区,来訪者,2020-02-25,213000
墨田区,来訪者,2020-02-26,211000
墨田区,来訪者,2020-02-27,210000
墨田区,来訪者,2020-02-28,210000
墨田区,来訪者,2020-02-29,124000
江東区,住人,2020-02-01,500000
江東区,住人,2020-02-02,500000
江東区,住人,2020-02-03,500000
江東区,住人,2020-02-04,500000
江東区,住人,2020-02-05,500000
江東区,住人,2020-02-06,500000
江東区,住人,2020-02-07,500000
江東区,住人,2020-02-08,500000
江東区,住人,2020-02-09,500000
江東区,住人,2020-02-10,500000
江東区,住人,2020-02-11,500000
江東区,住人,2020-02-12,500000
江東区,住人,2020-02-13,500000
江東区,住人,2020-02-14,500000
江東区,住人,2020-02-15,500000
江東区,住人,2020-02-16,500000
江東区,住人,2020-02-17,500000
江東区,住人,2020-02-18,500000
江東区,住人,2020-02-19,500000
江東区,住人,2020-02-20,500000
江東区,住人,2020-02-21,500000
江東区,住人,2020-02-22,500000
江東区,住人,2020-02-23,500000
江東区,住人,2020-02-24,500000
江東区,住人,2020-02-25,500000
江東区,住人,2020-02-26,500000
江東区,住人,2020-02-27,500000
江東区,住人,2020-02-28,500000
江東区,住人,2020-02-29,500000
江東区,来訪者,2020-02-01,202000
江東区,来訪者,2020-02-02,155000
江東区,来訪者,2020-02-03,372000
江東区,来訪者,2020-02-04,376000
江東区,来訪者,2020-02-05,377000
江東区,来訪者,2020-02-06,381000
江東区,来訪者,2020-02-07,380000
江東区,来訪者,2020-02-08,198000
江東区,来訪者,2020-02-09,152000
江東区,来訪者,2020-02-10,349000
江東区,来訪者,2020-02-11,171000
江東区,来訪者,2020-02-12,377000
江東区,来訪者,2020-02-13,382000
江東区,来訪者,2020-02-14,384000
江東区,来訪者,2020-02-15,202000
江東区,来訪者,2020-02-16,145000
江東区,来訪者,2020-02-17,369000
江東区,来訪者,2020-02-18,371000
江東区,来訪者,2020-02-19,366000
江東区,来訪者,2020-02-20,374000
江東区,来訪者,2020-02-21,375000
江東区,来訪者,2020-02-22,194000
江東区,来訪者,2020-02-23,153000
江東区,来訪者,2020-02-24,157000
江東区,来訪者,2020-02-25,368000
江東区,来訪者,2020-02-26,370000
江東区,来訪者,2020-02-27,365000
江東区,来訪者,2020-02-28,363000
江東区,来訪者,2020-02-29,176000
品川区,住人,2020-02-01,379000
品川区,住人,2020-02-02,379000
品川区,住人,2020-02-03,379000
品川区,住人,2020-02-04,379000
品川区,住人,2020-02-05,379000
品川区,住人,2020-02-06,379000
品川区,住人,2020-02-07,379000
品川区,住人,2020-02-08,379000
品川区,住人,2020-02-09,379000
品川区,住人,2020-02-10,379000
品川区,住人,2020-02-11,379000
品川区,住人,2020-02-12,379000
品川区,住人,2020-02-13,379000
品川区,住人,2020-02-14,379000
品川区,住人,2020-02-15,379000
品川区,住人,2020-02-16,379000
品川区,住人,2020-02-17,379000
品川区,住人,2020-02-18,379000
品川区,住人,2020-02-19,379000
品川区,住人,2020-02-20,379000
品川区,住人,2020-02-21,379000
品川区,住人,2020-02-22,379000
品川区,住人,2020-02-23,379000
品川区,住人,2020-02-24,379000
品川区,住人,2020-02-25,379000
品川区,住人,2020-02-26,379000
品川区,住人,2020-02-27,379000
品川区,住人,2020-02-28,379000
品川区,住人,2020-02-29,379000
品川区,来訪者,2020-02-01,186000
品川区,来訪者,2020-02-02,146000
品川区,来訪者,2020-02-03,378000
品川区,来訪者,2020-02-04,384000
品川区,来訪者,2020-02-05,379000
品川区,来訪者,2020-02-06,384000
品川区,来訪者,2020-02-07,384000
品川区,来訪者,2020-02-08,181000
品川区,来訪者,2020-02-09,143000
品川区,来訪者,2020-02-10,342000
品川区,来訪者,2020-02-11,161000
品川区,来訪者,2020-02-12,377000
品川区,来訪者,2020-02-13,382000
品川区,来訪者,2020-02-14,388000
品川区,来訪者,2020-02-15,186000
品川区,来訪者,2020-02-16,138000
品川区,来訪者,2020-02-17,374000
品川区,来訪者,2020-02-18,378000
品川区,来訪者,2020-02-19,374000
品川区,来訪者,2020-02-20,378000
品川区,来訪者,2020-02-21,379000
品川区,来訪者,2020-02-22,177000
品川区,来訪者,2020-02-23,145000
品川区,来訪者,2020-02-24,152000
品川区,来訪者,2020-02-25,374000
品川区,来訪者,2020-02-26,374000
品川区,来訪者,2020-02-27,367000
品川区,来訪者,2020-02-28,366000
品川区,来訪者,2020-02-29,164000
目黒区,住人,2020-02-01,269000
目黒区,住人,2020-02-02,269000
目黒区,住人,2020-02-03,269000
目黒区,住人,2020-02-04,269000
目黒区,住人,2020-02-05,269000
目黒区,住人,2020-02-06,269000
目黒区,住人,2020-02-07,269000
目黒区,住人,2020-02-08,269000
目黒区,住人,2020-02-09,269000
目黒区,住人,2020-02-10,269000
目黒区,住人,2020-02-11,269000
目黒区,住人,2020-02-12,269000
目黒区,住人,2020-02-13,269000
目黒区,住人,2020-02-14,269000
目黒区,住人,2020-02-15,269000
目黒区,住人,2020-02-16,269000
目黒区,住人,2020-02-17,269000
目黒区,住人,2020-02-18,269000
目黒区,住人,2020-02-19,269000
目黒区,住人,2020-02-20,269000
目黒区,住人,2020-02-21,269000
目黒区,住人,2020-02-22,269000
目黒区,住人,2020-02-23,269000
目黒区,住人,2020-02-24,269000
目黒区,住人,2020-02-25,269000
目黒区,住人,2020-02-26,269000
目黒区,住人,2020-02-27,269000
目黒区,住人,2020-02-28,269000
目黒区,住人,2020-02-29,269000
目黒区,来訪者,2020-02-01,166000
目黒区,来訪者,2020-02-02,133000
目黒区,来訪者,2020-02-03,229000
目黒区,来訪者,2020-02-04,235000
目黒区,来訪者,2020-02-05,232000
目黒区,来訪者,2020-02-06,238000
目黒区,来訪者,2020-02-07,242000
目黒区,来訪者,2020-02-08,164000
目黒区,来訪者,2020-02-09,133000
